state,age_band,children_per_staff,verify,note
ME,1-2 yrs,4,,
ME,2-5 yrs,8,,
MI,infant (state-defined),4,,
MI,toddler (state-defined),4,,
MI,30 mos-3 yrs,8,,
MI,3 yrs,10,,
MI,4 yrs,12,,
MN,infant (state-defined),4,,
MN,toddler (state-defined),7,,
MN,preschool (state-defined),10,,
MO,under 12 mos,4,yes,Source text read "over 12 mos"; almost certainly means under 12 months
MO,12-24 mos,4,,
MO,2 yrs,8,,
MO,3-4 yrs,10,,
MS,under 12 mos,5,yes,Source text read "over 12 mos"; almost certainly means under 12 months
MS,12-24 mos,9,,
MS,2 yrs,12,,
MS,3 yrs,14,,
MS,4 yrs,16,,
MT,0-11 mos,4,,
MT,12-23 mos,6,,
MT,2 yrs,8,,
MT,3-5 yrs,10,,
NC,0-12 mos,5,,Confirmed against North Carolina's summary of child care law; max group size 10
NC,12-24 mos,6,,Confirmed; max group size 12
NC,2-3 yrs,10,,Confirmed; max group size 20
NC,3-4 yrs,15,,Confirmed; max group size 25
NC,4-5 yrs,20,,Confirmed; max group size 25
NC,5+ yrs,25,,From North Carolina's summary (not in the 50-state source); max group size 25
ND,infant (state-defined),4,,
ND,toddler (state-defined),5,,
ND,3 yrs,7,,
ND,4 yrs,10,,
ND,5 yrs,12,,
NE,infant (state-defined),4,,
NE,toddler (state-defined),6,,
NE,3 yrs,10,,
NE,4 yrs,12,,
NH,6 wks-12 mos,4,,
NH,13-24 mos,5,,
NH,25-35 mos,6,,
NH,36-47 mos,8,,
NH,48-59 mos,12,,
NJ,infant (state-defined),4,,
NJ,toddler (state-defined),6,,
NJ,3 yrs,10,,
NJ,4 yrs,12,,
NM,infant (state-defined),6,,
NM,toddler (state-defined),6,,
NM,preschool (state-defined),12,,
NV,0-8 mos,4,,
NV,9-11 mos,6,,
NV,12-23 mos,6,,
NV,24-35 mos,9,,
NV,35-47 mos,12,yes,Band start printed as 35 months; probably 36
NV,48-59 mos,13,,
NV,5 yrs,18,,
NY,0-6 wks,3,,
NY,6 wks-18 mos,4,,
NY,toddler (state-defined),5,,
NY,3 yrs,7,,
NY,4 yrs,8,,
NY,5 yrs,9,,
OH,0-12 mos,5,,
OH,12-18 mos,6,,
OH,18 mos-2.5 yrs,7,,
OH,2.5-3 yrs,8,,
OH,3 yrs,12,,
OH,4-5 yrs,14,,
OK,infant (state-defined),4,,
OK,1 yr,6,,
OK,2 yrs,8,,
OK,3 yrs,12,,
OK,4 yrs,15,,
OR,infant (state-defined),4,,
OR,12-24 mos,4,,
OR,24-36 mos,5,,
OR,preschool (state-defined),10,,
PA,infant (state-defined),4,,
PA,1-2 yrs,5,,
PA,2-3 yrs,6,,
PA,preschool (state-defined),10,,
RI,infant (state-defined),4,,
RI,toddler (state-defined),6,,
RI,3 yrs,9,,
RI,4 yrs,10,,
RI,5-6 yrs,12,,
SC,infant (state-defined),5,,
SC,toddler (state-defined),6,,
SC,preschool (state-defined),12,,
SD,infant (state-defined),5,yes,A second source lists 1:4 for South Dakota infants
SD,toddler (state-defined),5,,
SD,preschool (state-defined),10,,
TN,infant (state-defined),4,,
TN,toddler (state-defined),6,,
TN,2 yrs,7,,
TN,3 yrs,9,,
TN,4 yrs,13,,
TN,5 yrs,16,,
TX,0-11 mos,4,,
TX,12-17 mos,5,,
TX,18-23 mos,9,,
TX,24-35 mos,11,,
TX,3 yrs,15,,
TX,4 yrs,18,,
UT,infant (state-defined),4,,
UT,12-17 mos,4,,
UT,18-23 mos,5,,
UT,2 yrs,7,,
UT,3 yrs,12,,
UT,4 yrs,15,,
VT,infant (state-defined),4,,
VT,13-30 mos,4,yes,Age bands overlap as published
VT,24-36 mos,5,yes,Age bands overlap as published
VT,preschool (state-defined),10,,
VA,infant (state-defined),4,,
VA,toddler (state-defined),5,,
VA,2 yrs,8,,
VA,3+ yrs,10,,
WA,infant (state-defined),4,,
WA,toddler (state-defined),7,,
WA,preschool (state-defined),10,,
WI,infant (state-defined),4,,
WI,toddler (state-defined),4,,
WI,2-2.5 yrs,6,,
WI,2.5-3 yrs,8,,
WI,3-4 yrs,10,,
WI,4-5 yrs,13,,
WV,infant (state-defined),4,,
WV,toddler (state-defined),4,,
WV,preschool (state-defined),12,,
WY,infant (state-defined),4,,
WY,12-24 mos,5,yes,Source text read 1:15 which is implausible; a second source lists 1:5
WY,24-36 mos,8,,
WY,3 yrs,10,,
WY,4 yrs,12,,
